n_commits,nome,localidade
3,RaphaelMerx,
3,RustSaiargaliev,
3,RyanHiebert,
3,RyanNowakowski,
3,SambhavSatija,
3,SeanWang,
3,SebastianSangervasi,
3,ShafiyaAdzhani,
3,ShipengFeng,
3,SirAbhi13,
3,SrinivasThatiparthy(శ్రీనివాస్తాటిపర్తి),
3,StanislasGuerra,
3,Swara,
3,SwastikTripathi,
3,TainaraPalmeira,
3,TheoAlexiou,
3,TiesJanHefting,
3,TobiasKrönke,
3,TomDyson,
3,TomV,
3,TommyBeadle,
3,VasiliyFaronov,
3,Vincent-Vega,
3,VishalLal,
3,WiktorKolodziej,
3,WilfredHughes,
3,WimFeijen,
3,Windsonyang,
3,Y3K,
3,YanMitrofanov,
3,arjunomray,
3,aspalding,
3,bphillips,
3,hashlash,
3,inondle,
3,jtiai,
3,kapilgarg,
3,krishbharadwaj,
3,medmunds,
3,mendespedro,
3,mimi89999,
3,ontowhee,
3,orf,
3,ovalseven8,
3,priyanshsaxena,
3,sag᠎e,
3,sai-ganesh-03,
3,sdolemelipone,
3,starryrbs,
3,swatantra,
3,th3nn3ss,
3,twidi,
3,userimack,
3,wookkl,
3,za,
3,ÖmerFarukAbacı,
2,007,
2,0saurabh0,
2,AaronElliotRoss,
2,AaronFrance,
2,Abhijeet,
2,AbhijeetViswa,
2,AbhishekBera,
2,AdamAvramov,
2,AdamBrenecki,
2,AdamTaylor,
2,AdrianTorres,
2,AfiMaameDufie,
2,AhmetKucuk,
2,AkashAgrawal,
2,AlbertWang,
2,AleksandraSendecka,
2,AleksejManaev,
2,Alex,
2,AlexStovbur,
2,AlexVandiver,
2,Alexander,
2,AlexanderAllakhverdiyev,
2,AlexanderLyabah,
2,AlexanderSchrijver,
2,AlexanderShchapov,
2,AlexanderTodorov,
2,AlexandrTatarinov,
2,AlexandreSpaeth,
2,Alexey,
2,AlexeyKotlyarov,
2,AlexeyOpalev,
2,AliMirlou,
2,AliVakilzade,
2,AmosOnn,
2,AnaBalica,
2,AnaKrivokapic,
2,AndreasHug,
2,AndreiFokau,
2,AndrewArtajos,
2,AndrewBadr,
2,AndreyKuzmin,
2,AndreyOtto,
2,AnilKhatri,
2,Ankur,
2,AntonStrogonoff,
2,AntonisChristofides,
2,AnžePečar,
2,AricCoady,
2,ArneBrodowski,
2,ArnedeLaat,
2,AudreyRoy,
2,AyushJoshi,
2,B.J.Potter,
2,BasilDubyk,
2,BayleeFeore,
2,BenDemboski,
2,BenKraft,
2,BernhardM.Wiedemann,
2,Bhuvnesh,
2,Bibhas,
2,BlakeGriffith,
2,BoMarchman,
2,BonaFideITGmbH,
2,BorisBurkov,
2,Brad,
2,BradMelin,
2,BrandonChinn,
2,BrentO'Connor,
2,BrentonCleeland,
2,BrettKoonce,
2,BrianGaley,
2,BrianHelba,
2,Brock,
2,BryanHelmig,
2,BrylieChristopherOxley,
2,BuddyLindseyJr,
2,CandideU,
2,ChaitanyaRahalkar,
2,ChandrakantKumar,
2,ChasonChaffin,
2,CheukTingHo,
2,ChiaraMezzavilla,
2,Chiemezuo,
2,ChrisBailey,
2,ChrisCogdon,
2,ChrisSinchok,
2,ChrisStreeter,
2,ChristianClauss,
2,ChristophSchindler,
2,ChristopherCave-Ayland,
2,ChristopherGrebs,
2,ChristopherWang,
2,ChristosKopanos,
2,ClairePhila,
2,CoenvanderKamp,
2,ColmO'Connor,
2,CraigSmith,
2,CsirmazBendegúz,
2,Damien,
2,DanJohnson,
2,DanMoore,
2,DanPalmer,
2,DanSears,
2,DanielBoeve,
2,DanielFMoisset,
2,DanielHillier,
2,DanielJilg,
2,DanielRice,
